id,value
id_0,25.48009540925793
id_1,64.49217953643176
id_2,19.004569017029425
id_3,28.832198591570826
id_4,9.235152221877104
id_5,31.700298479118807
id_6,41.268246557600044
id_7,16.811717119345598
id_8,51.57314111804422
id_9,32.710002168408174
id_10,37.927537485377435
id_11,58.86935578058471
id_12,35.43109530250021
id_13,40.010341614888866
id_14,28.258572395781655
id_15,12.192269542786551
id_16,51.31422905601764
id_17,23.129556860091473
id_18,16.568486291237292
id_19,18.19081073412016
id_20,15.517227909189927
id_21,30.180907021018605
id_22,39.44188095938438
id_23,10.123847040737878
id_24,61.093003516462396
id_25,46.25069310761474
id_26,27.285504720070556
id_27,7.275644259479545
id_28,29.33223396598644
id_29,35.804905603963704
id_30,18.05497934664386
id_31,11.527603620365053
id_32,16.60700410366114
id_33,7.67609576548659
id_34,16.103655150873628
id_35,42.81056717625489
id_36,22.0353230438791
id_37,27.52835792443961
id_38,10.221727818679886
id_39,57.679312160818625
id_40,46.927405835718986
id_41,20.12946337735741
id_42,53.216471796885415
id_43,18.486255268703612
id_44,44.18505971471765
id_45,49.88974546683866
id_46,57.878836054891636
id_47,40.945048306886925
id_48,55.09106221950007
id_49,39.49092810514589
id_50,30.677187862526974
id_51,23.616730251925052
id_52,40.56567022321759
id_53,24.497709241409837
id_54,36.98295084086509
id_55,38.508241906636165
id_56,24.50233547616938
id_57,21.382567701725396
id_58,35.67702133518448
id_59,32.67711528030622
id_60,12.605448034026605
id_61,22.89224630901989
id_62,31.7966846730673
id_63,53.03090478655149
id_64,50.04851433327072
id_65,25.978710095681762
id_66,38.14954599771218
id_67,52.20279575884254
id_68,29.17683965525245
id_69,39.06338819481419
id_70,64.97432858290475
id_71,55.47017593258104
id_72,42.54215455572876
id_73,14.209975738280756
id_74,14.000429810977023
id_75,35.52799926076656
id_76,62.9880748998604
id_77,2.190190232752961
id_78,41.72628155523722
id_79,41.8925022487024
id_80,8.625107578421035
id_81,21.83278508197546
id_82,5.985992883427289
id_83,31.35525942504567
id_84,8.551444969212511
id_85,4.926872839533828
id_86,16.891861692368057
id_87,11.670333995943155
id_88,18.92989426228334
id_89,23.237256415883913
id_90,35.24820477356204
id_91,12.254509312691123
id_92,11.906021362386936
id_93,9.867270385590514
id_94,37.494672774783304
id_95,15.280572276942955
id_96,17.156394931413377
id_97,9.215413796376897
id_98,10.73431727470931
id_99,4.493866129899258
id_100,10.364830757395222
id_101,18.698253862878733
id_102,11.759985820482797
id_103,8.809186779527948
id_104,12.681984330292913
id_105,36.77767946340246
id_106,24.15823314727479
id_107,7.967074842860118
id_108,16.847005484888342
id_109,15.537182940055164
id_110,11.608562487166662
id_111,15.51956127139154
id_112,16.49148282394039
id_113,25.43346224856594
id_114,19.631023418936337
id_115,15.875865210794336
id_116,7.518517503262499
id_117,44.896645595789145
id_118,26.032752558603406
id_119,0.5706717935005763
id_120,-0.052750328998970364
id_121,10.338335110998855
id_122,12.562564686445967
id_123,12.343291108430453
id_124,7.485605924756273
id_125,25.045090244142905
id_126,22.672325405850867
id_127,9.513416800913602
id_128,20.048325822958944
id_129,13.737497425954182
id_130,-0.5414919890515263
id_131,32.33532139312665
id_132,14.926401066448822
id_133,21.277740816568418
id_134,26.661286673296225
id_135,24.801288288269603
id_136,9.834177781943557
id_137,22.05359196334782
id_138,78.66334797640665
id_139,61.60460322061502
id_140,26.953419886908726
id_141,18.841015823152407
id_142,24.45731638840085
id_143,7.352292909793458
id_144,13.319502659374647
id_145,9.806222440256636
id_146,19.377595160282134
id_147,7.4130917073811995
id_148,12.682727530735184
id_149,15.993600235593469
id_150,46.2471826194072
id_151,20.65842400127113
id_152,22.071854231017795
id_153,14.26941322886117
id_154,13.845945037272378
id_155,23.630209952560374
id_156,24.91532285293573
id_157,37.00677494083081
id_158,3.737763687709558
id_159,22.995490447407096
id_160,42.153753244885564
id_161,19.25953531103189
id_162,62.22194438950139
id_163,16.82232414939147
id_164,33.78458412885085
id_165,24.374562763338226
id_166,22.44327942225783
id_167,0.36411103288882285
id_168,67.9869328184698
id_169,16.02774362831137
id_170,15.83290851820665
id_171,70.75197482126367
id_172,20.74590096323387
id_173,1.9924878684775176
id_174,23.797532665373616
id_175,-0.14410705055594164
id_176,8.183725871631285
id_177,18.24351888241805
id_178,21.944393682228213
id_179,24.82878982230527
id_180,42.983612240133134
id_181,33.09124694828044
id_182,29.55353063337261
id_183,14.076471032130986
id_184,7.405283623130634
id_185,42.08923004573015
id_186,36.076801972554165
id_187,34.065236561177066
id_188,16.226431648884496
id_189,24.031299428806932
id_190,14.320475012028504
id_191,15.43251290505981
id_192,30.485934612497527
id_193,73.05799415635336
id_194,30.64358707553419
id_195,10.823134268666076
id_196,62.742828222957456
id_197,16.763883677804827
id_198,20.10187736952721
id_199,20.95510666057659
id_200,123.61576769757151
id_201,22.84406179484393
id_202,58.39169002225389
id_203,5.0336145644719865
id_204,59.89699864975306
id_205,35.41604304567152
id_206,14.811704590070908
id_207,14.363947566344699
id_208,61.53480708218548
id_209,14.155498894678168
id_210,37.2944634441111
id_211,68.51679401928581
id_212,18.796966652119895
id_213,113.68126609506375
id_214,40.70451433532997
id_215,76.76033229649923
id_216,91.72367733975086
id_217,71.21433980295946
id_218,29.874252756731522
id_219,19.905736017893066
id_220,30.609887070897198
id_221,57.27838711540993
id_222,26.48954490154736
id_223,38.29042483244216
id_224,42.837786220367846
id_225,10.077457685325825
id_226,5.3054069035462685
id_227,81.13446282855446
id_228,30.207759105494027
id_229,1.5404975705994524
id_230,40.509559418940285
id_231,15.295686791915237
id_232,22.069585934524962
id_233,7.440568093351588
id_234,15.113607169570432
id_235,25.57866569511846
id_236,13.968705867784324
id_237,3.0790913851758184
id_238,22.109949924180775
id_239,12.475492994617007
